,Frutas,Precio Frutas,Verdura,Precio Verduras,Lacteos,Precio Lacteos,Carne,Precio Carnes,Enlatados ,Precio Enlatados
0,Platano 1 Kg,17.5,Tomate Huaje Supremo 1 Kg,18.5,Yogurt Fresa 0% 150 Gr,31.9,Molida Pulpa Negra De Res 500 Gr,112.0,Atun En Agua 140 Gr,19.5
1,Papaya Maradol 1 Kg,28.0,Aguacate Supremo 1 Kg,51.0,Yogurt Griego Natural 150 Gr,31.9,Molida London Broil De Res 500 Gr,123.0,Atun En Agua 140 Gr,20.0
2,Sandia Sangria 1 Kg,13.0,Papa Blanca 1 Kg,41.0,Yogurth Griego Chobani Core Cereza 150 Gr,31.9,Molida Pulpa Fina De Res 300 Gr,62.0,Frijoles Refritos Bayos 400 Gr,15.9
3,Naranja Valencia 1 Kg,16.0,Cebolla Bca Limpia 1 Kg,17.5,Yoghurt Griego Core Frambuesa 150 Gr,31.9,Molida Sirloin De Res 300 Gr,64.0,Frijoles Refritos Peruanos 400 Gr,15.9
4,Melon Chino 1 Kg,24.0,Limon Agrio Supremo 1 Kg,38.0,Yoghurt Griego Core Vainilla 150 Gr,31.9,Pechuga De Pollo S/H 1 Kg,144.0,Elote En Lata 220 Gr,10.0
5,Fresa 1 Lb 454 Gr,77.9,Nopal Limpio 1 Kg,31.0,Yogurt Griego Fresa Y Platano 150 Gr,31.9,Milanesa Natural De Pollo Paq.De.550Gr 550 Gr,89.5,Elote En Lata 432 Gr,15.0
6,Jicama Gde 1 Kg,19.5,Cilantro Manojo,7.0,Leche Condensada 387 Gr 397 Gr,24.0,Milanesa De Pulpa Negra 1 Kg,226.0,Atun En Agua Solido De Lomo 140 Gr,31.9
7,Manzana Golden Saltillo Bin 1 Kg,36.0,Zanahoria 1 Kg,15.0,Leche Evaporada Regular 360 Gr,17.0,Filete De Mojarra De Granja Prev. Cong. 1 Kg,110.0,Atun En Agua Pouch 75 Gr,19.0
8,Pina Miel Gold,57.0,Calabacita 1 Kg,24.0,Leche Almendras Original 1.89 Lt,64.0,Pierna Y Muslo De Pollo Iqf 1 Kg,27.0,Atun En Agua 140 Gr,12.0
9,Manzana Golden Nacional 1 Kg,36.0,Elote Blanco,7.0,Queso Panela 400 Gr,78.9,Pechuga De Pollo Deshuesada 1 Kg,143.0,Frijoles Pintos 425 Gr,18.9
