,Frutas,Precio Frutas,Verdura,Precio Verduras,Lacteos,Precio Lacteos,Carne,Precio Carnes,Enlatados ,Precio Enlatados
0,Platano Tabasco,27.5,Jitomate Saladet,9.5,Leche Uht Entera Proteina 0 Lactosa 100,25.65,Chuleta Ahumada Cerdo Selecto,92.4,Granos De Elote Dorado,8.15
1,Papaya Maradol,29.9,Aguacate Hass,44.9,Leche Uht Semidescremada,21.45,Molida Cerdo Selecto,111.0,Chicharron De Cerdo,159.0
2,Limon Agrio,35.9,Cebolla Blanca,15.9,Leche Uht Entera,21.05,Pulpa De Pierna Cerdo Selecto,115.7,Granos De Elote,7.15
3,Naranja Valencia Para Jugo,13.5,Calabaza Italiana,17.5,Leche Uht Deslactosada Light,30.0,Costilla Cerdo Selecto,118.5,Garbanzos,15.1
4,Limon Agrio Sin Semilla 4639 1,36.9,Zanahoria,14.9,Leche Uht Semidescremada,8.3,Lomo Cerdo Supremo,121.4,Granos De Elote Dorado,15.0
5,Manzana Royal Gala,56.9,Papa Blanca,41.9,Leche Uht Entera,15.8,Chuleta Cerdo Selecto,104.61,Ensalada De Verduras,8.95
6,Piña Miel,21.9,Pepino,21.0,Leche Uht Semidescremada,8.3,Milanesa De Pierna Cerdo Selecto,115.0,Champiñones Rebanados,15.9
7,Uva Blanca Sin Semilla,99.9,Tomate Verde Sin Cascara,18.5,Leche Uht Deslactosada,21.75,Milanesa De Lomo Cerdo Selecto,139.8,Granos De Elote Blanco Mexicano,13.7
8,Guayaba,32.9,Chayote Sin Espinas,17.9,Leche Fresca Entera,34.3,Codillo Cerdo Selecto,64.0,Granos De Elote Dorado,14.1
9,Melon Chino,27.9,Chile Serrano,21.0,Producto Lacteo Uht Entero,15.55,Espinazo Cerdo Selecto,131.9,Ajo Picado,93.0
10,Fresa,94.5,Ejote Verde,32.9,Leche Uht Semidescremada,27.0,Lomo Ahumado Cerdo Selecto,122.86,Ensalada De Verduras,13.5
