,Frutas,Precio Frutas,Verdura,Precio Verduras,Lacteos,Precio Lacteos,Carne,Precio Carnes,Enlatados ,Precio Enlatados
0,Manzana Granny Smith Kg,59.9,Chile Soriana Ancho Bol 100Gr,27.9,Leche Lala Entera 1 L,22.9,Hamburguesa Res Fina Sukarne 720 Gr Pz,72.0,Tuny Atún Agua 140 Gr Lat,15.5
1,Platano Dominico Kg,34.9,Chile Soriana Chipotle Bol 100Gr,49.9,Leche Lala Deslactosada 1 L,23.0,Diezmillo De Res S/Hueso Rdfs Kg,74.9,Atun Tuny En Aceite Lat 140Gr,15.5
2,Platano Kg,18.9,Chile Soriana Mulato Bol 100Gr,26.9,Leche Lala Deslactosada Light 1 L,23.5,Costilla De Res P/Asar Rdfs Kg,9.0,Atun En Agua Agua Precissimo Pza,10.25
3,Pera Bosc Kg,79.9,Chile Soriana Pasilla 100 Gr,24.9,Leche Ultra Lala Light 1Lt,22.9,Flecha De Res P/Asar Rdfs Kg,9.0,Atun En Aceite Aceite Precissimo Pza,10.8
4,Limon C/Semilla Kg,32.9,Jitomate  Huaje/Saladette,12.9,Leche Alpura Clásica Entera 1 L,22.9,Higado De Res Rebanado Sukarne 500 Gr,28.9,Lomo De Atún Herdez En Agua 130 Gr,15.0
5,Mandarina Kg,24.9,Poro,21.9,Leche Alpura Light 1 L,22.9,Filete De Res Rdfs Kg,19.0,Atun Dolores En Aceite Lat 140Gr,16.0
6,Mango Ataulfo Kg,39.9,Papa Blanca Kg,34.9,Leche Alpura Semidescremada 1 L,22.9,Molida Res Pulpa Negra 95/5 Rancho Don Francisco,94.9,Lomo De Atún Tuny En Agua 75 Gr,13.9
7,Naranja S/Semilla Kg,69.9,Cebolla Blanca Kg,14.9,Leche Deslactosada,19.9,Menudo De Res Panza Rancho Santa Fe Kg,74.9,Lomo De Atún Tuny En Agua Jumbo 295 Gr,31.9
8,Papaya Kg,24.9,Aguacate Kg,49.9,Leche Lala Semidescremada Reducida En Grasa 1 L,22.9,Molida De Pulpa Negra London Broil Rancho Don Francisco Selecta Kg,39.0,Lomo De Atún Tuny Jumbo En Aceite 295 Gr,31.9
9,Manzana Golden Delicious Kg,39.9,Zanahoria Kg,15.9,Leche Valley Foods Deslactosada Light 1 L,18.9,Pulpa Negra Trozo Rancho Don Francisco Selecta,94.9,Atún Dolores En Agua Pouch 78G,14.5
10,Melon Chino Kg,21.9,Verdolaga Manojo,12.9,Leche Valley Foods Light 1 L,17.9,Albondiga Practiryc 480 Gr,82.9,Chilorio Chata De Pavo 250 Gr,56.0
11,Piña Gota Miel Kg,22.9,Apio Kg,21.9,Lecha Entera Valley Foods 1 L,17.9,New York De Res Rdfs Kg,14.0,Atún Dolores En Aceite Lata 295G,32.9
12,Naranja Kg,16.8,Cilantro Manojo,7.9,Leche Valley Foods Deslactosada 1 L,18.9,Milanesa De Res Pulpa Negra Rancho Don Francisco Selecta Kg,89.9,Lomo De Atún El Dorado Nutre En Aceite 140 Gr,10.0
13,Limon Amarillo Kg,39.9,Calabaza Italiana/Criolla Kg,22.9,Producto Lácteo Forti Plus Entera 1 L,16.1,T Bone De Res Rdfs Kg,19.0,Sardinas Ponto En Salsa De Tomate 120 Gr,21.5
14,Manzana Golden Bol Kg,34.9,Berro Manojo,12.9,Leche Baja En Grasa Uht,18.9,Molida 90/10 De Res Rancho Don Francisco Selecta Kg,29.9,Sardina En Salsa De Tomate Dolores Lata 120G,21.5
15,Fresa Char 454Gr,79.9,Camote Morado 1 Kg,49.9,Leche Entera Uht,18.9,Brisket De Res S/Hueso Rdfs Kg,49.0,Ensalada Tuny Atun S/Mayonesa Lat 135Gr,15.9
