Unnamed: 0,Enlatados HBE,Precio Enlatados HBE,Enlatados Chedraui,Precio Enlatados Chedraui,Enlatados Soriana,Precio Enlatados Soriana,Enlatados LaComer,Precio Enlatados LaComer
,Atun En Agua 140 Gr,19.5,Chiles Habaneros Salsas Doña Jose en Escabeche 300g.,95.0,Tuny Atún Agua 140 Gr Lat,15.5,Granos De Elote Dorado,8.15
,Atun En Agua 140 Gr,20.0,Rajas Rojas La Morena  210g,11.5,Atun Tuny En Aceite Lat 140Gr,15.5,Chicharron De Cerdo,159.0
,Frijoles Refritos Bayos 400 Gr,15.9,Rajas Verdes La Morena  2800g,99.8,Atun En Agua Agua Precissimo Pza,10.25,Granos De Elote,7.15
,Frijoles Refritos Peruanos 400 Gr,15.9,Chiles Clemente Jacques Chipotles Dulces Molidos 220g,15.5,Atun En Aceite Aceite Precissimo Pza,10.8,Garbanzos,15.1
,Elote En Lata 220 Gr,10.0,"Chile Chipotle Lucero 270 gr, Escabeche",25.5,Lomo De Atún Herdez En Agua 130 Gr,15.0,Granos De Elote Dorado,15.0
,Elote En Lata 432 Gr,15.0,Chile Chipotle Lucero Adobo 520g,41.5,Atun Dolores En Aceite Lat 140Gr,16.0,Ensalada De Verduras,8.95
,Atun En Agua Solido De Lomo 140 Gr,31.9,Chilitos Gueritos La Norteña Pouch 230g,21.0,Lomo De Atún Tuny En Agua 75 Gr,13.9,Champiñones Rebanados,15.9
,Atun En Agua Pouch 75 Gr,19.0,Chiles Serranos La Costeña Enteros en Escabeche 800g,36.9,Lomo De Atún Tuny En Agua Jumbo 295 Gr,31.9,Granos De Elote Blanco Mexicano,13.7
,Atun En Agua 140 Gr,12.0,Chiles El Mexicano Jalapeños en Nachos 380g,17.0,Lomo De Atún Tuny Jumbo En Aceite 295 Gr,31.9,Granos De Elote Dorado,14.1
,Frijoles Pintos 425 Gr,19.9,Chiles El Mexicano Jalapeños en Rajas 800g,32.0,Atún Dolores En Agua Pouch 78G,14.5,Ajo Picado,93.0
,Atun En Aceite 140 Gr,20.0,Chiles El Mexicano Jalapeños en Rajas 340g,18.0,Chilorio Chata De Pavo 250 Gr,56.0,Ensalada De Verduras,13.5
,Elote En Lata 225 Gr,9.0,Chiles El Mexicano Jalapeños en Rajas 220g,12.0,Atún Dolores En Aceite Lata 295G,32.9,Champiñones Rebanados,30.1
