Unnamed: 0,Frutas HBE,Precio Frutas HBE,Frutas Chedraui,Precio Frutas Chedraui,Frutas Soriana,Precio Frutas Soriana,Frutas LaComer,Precio Frutas LaComer
,Platano 1 Kg,17.5,Limón sin Semilla por Kg,26.9,Manzana Granny Smith Kg,59.9,Platano Tabasco,28.9
,Papaya Maradol 1 Kg,28.0,Plátano Chiapas por Kg,22.9,Platano Dominico Kg,34.9,Papaya Maradol,32.9
,Sandia Sangria 1 Kg,13.0,Naranja Arpilla5Kg,57.5,Platano Kg,18.9,Limon Agrio,36.9
,Naranja Valencia 1 Kg,16.0,Limón Eureka 1kg,57.9,Pera Bosc Kg,79.9,Naranja Valencia Para Jugo,13.5
,Melon Chino 1 Kg,24.0,Naranja de Jugo por Kg,14.9,Limon C/Semilla Kg,32.9,Limon Agrio Sin Semilla 4639 1,36.9
,Fresa 1 Lb 454 Gr,77.9,Toronja por Kg,15.9,Mandarina Kg,24.9,Manzana Royal Gala,62.9
,Jicama Gde 1 Kg,19.5,Limón Colima por Kg,31.0,Mango Ataulfo Kg,39.9,Piña Miel,23.9
,Manzana Golden Saltillo Bin 1 Kg,36.0,Mandarina por Kg,32.9,Naranja S/Semilla Kg,69.9,Guayaba,32.8
,Pina Miel Gold,57.0,Limade Chiche por Kg,41.0,Papaya Kg,24.9,Uva Blanca Sin Semilla,135.0
,Manzana Golden Nacional 1 Kg,36.0,Naranja Paramount 1kg,58.5,Manzana Golden Delicious Kg,39.9,Melon Chino,28.4
,Manzana Gala Imp 1 Kg,62.0,Mandarina Chumis Chica Bolsa 674 g,53.9,Melon Chino Kg,21.9,Fresa,89.9
,Mango Ataulfo Supremo 1 Kg,46.0,Pera Forelle Kg,134.7,Piña Gota Miel Kg,22.9,Toronja Sangria,13.5
,Sandia Roja Sin Semilla 1 Kg,13.0,Cereza Domo 250g,74.9,Naranja Kg,16.8,Jicama,15.4
,Manzana Golden En Bsa Nacional1.34 1.36 Gr,45.0,Kiwi Zespri Sungold 3 piezas,63.5,Limon Amarillo Kg,39.9,Manzana Golden,39.9
,Pera D Anjou 1 Kg,65.5,Pera Mantequilla por Kg,49.9,Manzana Golden Bol Kg,34.9,Pera De Anjou,64.9
,Manzana Red Delicious Imp Suprema 1 Kg,51.9,Durazno Rojo por Kg,69.9,Fresa Char 454Gr,79.9,Manzana Starking,49.9
,Uva Blanca S/S Suprema 1 Kg,104.0,Ciruela 1kg,79.9,Nectarina Kg,79.8,Tangerina,35.8
,Manzana Golden En Bolsa 600 G,19.0,Nectarina por Kg,64.9,Manzana Red Delicious Kg,39.9,Platano Macho,25.8
,Manzana Golden Imp Suprema 1 Kg,73.0,Pera Bosc por Kg,54.9,Sandia Con Semilla Kg,12.9,Manzana Golden Ex,69.9
