Unnamed: 0,Verduras HBE,Precio Verduras HBE,Verduras Chedraui,Precio Verduras Chedraui,Verduras Soriana,Precio Verduras Soriana,Verduras LaComer,Precio Verduras LaComer
,Tomate Huaje Supremo 1 Kg,18.5,Alcachofa Microwave 59g,144.9,Chile Soriana Ancho Bol 100Gr,27.9,Jitomate Saladet,9.9
,Aguacate Supremo 1 Kg,51.0,Esparrago Verde 454g,78.5,Chile Soriana Chipotle Bol 100Gr,49.9,Aguacate Hass,46.9
,Papa Blanca 1 Kg,41.0,Tomate Cherry Glorys NatureSweet 283g,37.9,Chile Soriana Mulato Bol 100Gr,26.9,Cebolla Blanca,16.9
,Cebolla Bca Limpia 1 Kg,17.5,Jitomate Hidrocool Cherry 380g,32.9,Chile Soriana Pasilla 100 Gr,24.9,Calabaza Italiana,17.9
,Limon Agrio Supremo 1 Kg,38.0,Tomate Uva Cherubs NatureSweet 283g,37.9,Jitomate  Huaje/Saladette,12.9,Zanahoria,14.9
,Nopal Limpio 1 Kg,31.0,Cebolla Perla Roja 10 283.4g,57.0,Poro,21.9,Papa Blanca,39.9
,Cilantro Manojo,7.0,Cebolla Perla Blanca 283.4g,57.0,Papa Blanca Kg,34.9,Pepino,20.9
,Zanahoria 1 Kg,15.0,Cebolla Perla Dorada 283.4g,57.0,Cebolla Blanca Kg,14.9,Tomate Verde Sin Cascara,18.9
,Calabacita 1 Kg,24.0,Cebolla Amarillapor kg,29.9,Aguacate Kg,49.9,Chayote Sin Espinas,17.5
,Elote Blanco,7.0,Tomate Verde por kg,22.9,Zanahoria Kg,15.9,Chile Serrano,20.9
,Pepino Fresco 1 Kg,20.5,CebollínPieza,9.0,Verdolaga Manojo,12.9,Ejote Verde,32.8
,Espinaca Manojo,7.0,Cebolla de Cambray por Pieza,9.9,Apio Kg,21.9,Chile Poblano,28.9
,Lechuga Romana,16.0,Cebolla de Rabo por kg,32.0,Cilantro Manojo,7.9,Pimiento Verde,29.9
,Limon S/Semilla 1 Kg,20.5,Tomatillo por kg,48.0,Calabaza Italiana/Criolla Kg,22.9,Pimiento Rojo,84.9
,Tomate Bola Supremo 1 Kg,17.5,Aguacate Hass Enmallado pz,26.9,Berro Manojo,12.9,Cebolla Morada,41.8
,Brocoli Coronas 1 Kg,33.9,Cebolla Morada por kg,32.9,Camote Morado 1 Kg,49.9,Jengibre,126.9
,Lechuga Orejona,17.5,Tomate Saladet por kg,12.9,Pepino Verde Kg,16.9,Ajo Morado,172.0
,Chayote Sin Espinas 1 Kg,36.0,Cebolla Blanca por kg,13.5,Aguacate Campo Vivo,87.0,Jitomate Bola,11.9
,Tomatillo Limpio Season Select,17.5,Aguacate Chiapas por Kg,39.9,Esparrago Verde Mjo,99.0,Betabel,14.9
,Papa Blanca Chica 1 Kg,36.0,Papa Blanca  por kg,36.9,Chile Caribe Kg,29.9,Papa Cambray,36.6
,Coliflor Blanca Pza,36.0,Tomate Bolapor kg,19.9,Chile Tajin Ancho 75Gr,30.9,Elote Blanco,9.7
